"ticker_x","CIK","Company"
"boxl","1624512","BOXLIGHT CORP"
"awre","1015739","AWARE INC"
"inuv","829323","INUVO INC"
"tglo","1066684","THEGLOBE.COM INC"
"ntwk","1039280","NETSOL TECHNOLOGIES INC"
"mrin","1389002","MARIN SOFTWARE INC"
"minm","1467761","ZOOM TELEPHONICS INC"
"seac","1019671","SEACHANGE INTERNATIONAL INC"
"intz","736012","INTRUSION INC"
"gvp","944480","GSE SYSTEMS INC"
"sofo","1029744","SONIC FOUNDRY INC"
"bsqr","1054721","BSQUARE CORP"
"qumu","892482","QUMU CORP"
"rnwk","1046327","REALNETWORKS INC"
"blbx","1567900","BLACKBOXSTOCKS INC"
"gmpw","1064722","GIVEMEPOWER CORP"
"evol","1052054","EVOLVING SYSTEMS INC"
"inlx","1081745","INTELLINETICS INC"
"blin","1378590","BRIDGELINE DIGITAL INC"
"bkyi","1019034","BIO-KEY INTERNATIONAL INC"
"oblg","746210","OBLONG INC"
"payd","1017655","PAID INC"
"falc","922521","FALCONSTOR SOFTWARE INC"
"ttcm","1389067","TAUTACHROME INC"
"mgti","1001601","MGT CAPITAL INVESTMENTS INC"
"iwsy","941685","IMAGEWARE SYSTEMS INC"
"clok","1022505","CIPHERLOC CORP"
"hpto","1021435","HOPTO INC"
"rkfl","823546","ROCKETFUEL BLOCKCHAIN INC"
"avoi","1342936","ADVANCED VOICE RECOGNITION"
"maxd","1353499","MAX SOUND CORP"
"teum","1084384","PARETEUM CORP"
"smme","1301991","SMARTMETRIC INC"
"clis","1393548","CLICKSTREAM CORP"
"sitoq","1157817","SITO MOBILE LTD"
"rdar","1384365","RAADR INC"
"cybf","1522787","CYBERFORT SOFTWARE INC"
"adgo","869531","ADVANTEGO CORP"
"wodi","704366","WOD RETAIL SOLUTIONS"
"dpsm","1556753","3D PIONEER SYSTEMS INC"
"bdgy","1567771","BRIDGEWAY NATIONAL CORP"
"isign","727634","ISIGN SOLUTIONS INC"
"isgn","727634","ISIGN SOLUTIONS INC"
"ottv","1479000","VIVA ENTERTAINMENT GROUP INC"
