CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
1131554,SYNCHRONOSS TECHNOLOGIES INC,8-K,2021-11-02,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000076.txt,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000076-index.html,2021-11-02,2021-11-02,7371,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000076/sncr-20211102.htm,,NJ,1231,11315548K2021_https___www.htm
1131554,SYNCHRONOSS TECHNOLOGIES INC,8-K,2021-11-05,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000078.txt,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000078-index.html,2021-11-05,2021-11-04,7371,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000078/sncr-20211104.htm,,NJ,1231,11315548K2021_https___www.htm
1131554,SYNCHRONOSS TECHNOLOGIES INC,8-K,2021-11-08,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000086.txt,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000086-index.html,2021-11-08,2021-11-08,7371,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000086/sncr-20211108.htm,,NJ,1231,11315548K2021_https___www.htm
320340,INTELLIGENT SYSTEMS CORP,10-Q,2021-11-04,https://www.sec.gov/Archives/edgar/data/320340/0001437749-21-025179.txt,https://www.sec.gov/Archives/edgar/data/320340/0001437749-21-025179-index.html,2021-11-04,2021-09-30,7372,https://www.sec.gov/Archives/edgar/data/320340/000143774921025179/ins20210930_10q.htm,GA,GA,1231,32034010Q2021_https___www.htm
320340,INTELLIGENT SYSTEMS CORP,8-K,2021-11-04,https://www.sec.gov/Archives/edgar/data/320340/0001171843-21-007501.txt,https://www.sec.gov/Archives/edgar/data/320340/0001171843-21-007501-index.html,2021-11-04,2021-11-04,7372,https://www.sec.gov/Archives/edgar/data/320340/000117184321007501/f8k_110321.htm,GA,GA,1231,3203408K2021_https___www.htm
320340,INTELLIGENT SYSTEMS CORP,8-K,2021-12-15,https://www.sec.gov/Archives/edgar/data/320340/0001437749-21-028614.txt,https://www.sec.gov/Archives/edgar/data/320340/0001437749-21-028614-index.html,2021-12-15,2021-12-15,7372,https://www.sec.gov/Archives/edgar/data/320340/000143774921028614/ins20211209_8k.htm,GA,GA,1231,3203408K2021_https___www.htm
896878,INTUIT INC,10-Q,2021-11-18,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000260.txt,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000260-index.html,2021-11-18,2021-10-31,7372,https://www.sec.gov/Archives/edgar/data/896878/000089687821000260/intu-20211031.htm,DE,CA,0731,89687810Q2021_https___www.htm
896878,INTUIT INC,8-K,2021-11-01,https://www.sec.gov/Archives/edgar/data/896878/0001193125-21-314683.txt,https://www.sec.gov/Archives/edgar/data/896878/0001193125-21-314683-index.html,2021-11-01,2021-11-01,7372,https://www.sec.gov/Archives/edgar/data/896878/000119312521314683/d147355d8k.htm,DE,CA,0731,8968788K2021_https___www.htm
896878,INTUIT INC,8-K,2021-11-10,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000255.txt,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000255-index.html,2021-11-10,2021-11-04,7372,https://www.sec.gov/Archives/edgar/data/896878/000089687821000255/intu-20211104.htm,DE,CA,0731,8968788K2021_https___www.htm
896878,INTUIT INC,8-K,2021-11-18,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000258.txt,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000258-index.html,2021-11-18,2021-11-18,7372,https://www.sec.gov/Archives/edgar/data/896878/000089687821000258/intu-20211118.htm,DE,CA,0731,8968788K2021_https___www.htm
896878,INTUIT INC,8-K,2021-12-01,https://www.sec.gov/Archives/edgar/data/896878/0001193125-21-345301.txt,https://www.sec.gov/Archives/edgar/data/896878/0001193125-21-345301-index.html,2021-12-01,2021-11-29,7372,https://www.sec.gov/Archives/edgar/data/896878/000119312521345301/d237115d8k.htm,DE,CA,0731,8968788K2021_https___www.htm
