Company,CIK,ticker
MIX TELEMATICS LTD,1576914,MIXT
MOBILEIRON INC,1470099,
MODEL N INC,1118417,MODN
MONGODB INC,1441816,MDB
MONSTER ARTS,1423746,
NCINO INC,1566895,
NEOMEDIA TECHNOLOGIES INC,1022701,
NETSOL TECHNOLOGIES INC,1039280,NTWK
NEW RELIC INC,1448056,NEWR
NORTONLIFELOCK INC,849399,NLOK
NOTIFY TECHNOLOGY CORP,1031980,
NUANCE COMMUNICATIONS INC,1002517,NUAN
NUTANIX INC,1618732,NTNX
OBLONG INC,746210,OBLG
OKTA INC,1660134,OKTA
OMTOOL LTD,1020579,
ONESPAN INC,1044777,OSPN
ORACLE CORP,1341439,ORCL
PAGERDUTY INC,1568100,PD
PAID INC,1017655,PAYD
PALANTIR TECHNOLOG INC,1321655,PLTR
PALO ALTO NETWORKS INC,1327567,PANW
PARETEUM CORP,1084384,TEUM
PARK CITY GROUP INC,50471,PCYG
PAYBOX CORP,879703,
PAYCHEX INC,723531,PAYX
PAYCOM SOFTWARE INC,1590955,PAYC
PAYLOCITY HOLDING CORP,1591698,PCTY
PEGASYSTEMS INC,1013857,PEGA
PHUNWARE INC,1665300,PHUNW
PING IDENTITY HOLDING CORP,1679826,PING
PLURALSIGHT INC,1725579,
PRIMAL SOLUTIONS INC,1124217,
PROGRESS SOFTWARE CORP,876167,PRGS
PROOFPOINT INC,1212458,
PROS HOLDINGS INC,1392972,PRO
PTC INC,857005,PTC
PULSE EVOLUTION CORP,1583138,
Q2 HOLDINGS INC,1410384,QTWO
QAD INC,1036188,
QUALYS INC,1107843,QLYS
QUANTGATE SYSTEMS INC,1464766,
QUMU CORP,892482,QUMU
RAADR INC,1384365,RDAR
RAND WORLDWIDE INC,852437,
RAPID7 INC,1560327,RPD
REALNETWORKS INC,1046327,RNWK
REALPAGE INC,1286225,
RIGHTSCORP INC,1506270,
RINGCENTRAL INC,1500528,
RIOT BLOCKCHAIN INC,1167419,RIOT
ROCKETFUEL BLOCKCHAIN INC,823546,RKFL
RORINE INTL HOLDING CORP,1423586,
ROSETTA STONE INC,1351285,
SAILPOINT TECHNO HLDG,1627857,SAIL
SALESFORCE.COM INC,1108524,CRM
SCIENT INC,1158019,
SEACHANGE INTERNATIONAL INC,1019671,SEAC
SECUREWORKS CORP,1468666,SCWX
SERVICENOW INC,1373715,NOW
SHARPSPRING INC,1506439,
SHOTSPOTTER INC,1351636,SSTI
SIMTROL INC,846775,
SITO MOBILE LTD,1157817,SITOQ
SKYBOX INTL INC,909687,
SLACK TECHNOLOGIES INC,1764925,
SMARTMETRIC INC,1301991,SMME
SMARTSHEET INC,1366561,SMAR
SMITH MICRO SOFTWARE INC,948708,SMSI
SNOWFLAKE INC,1640147,SNOW
SOFTECH INC,354260,
SOLARWINDS CORP,1739942,SWI
SONIC FOUNDRY INC,1029744,SOFO
SPLUNK INC,1353283,SPLK
SPROUT SOCIAL INC,1517375,SPT
SPS COMMERCE INC,1092699,SPSC
SS&C TECHNOLOGIES HLDGS INC,1402436,SSNC
SSI INVESTMENTS II LTD,1501919,
SUMO LOGIC INC,1643269,SUMO
SVMK INC,1739936,MNTV
SYNACOR INC,1408278,
SYNCHRONOSS TECHNOLOGIES,1131554,SNCRL
SYNOPSYS INC,883241,SNPS
TAUTACHROME INC,1389067,TTCM
TELENAV INC,1474439,
TENABLE HOLDINGS INC,1660280,TENB
TERADATA CORP,816761,TDC
THEGLOBE.COM INC,1066684,TGLO
TIBCO SOFTWARE INC,1085280,
TINTRI INC,1554875,
TMM INC,939652,
TRADE DESK INC,1671933,TTD
TWILIO INC,1447669,TWLO
TYLER TECHNOLOGIES INC,860731,TYL
ULTIMATE SOFTWARE GROUP INC,1016125,
UNITRONIX CORP,835270,
UNITY SOFTWARE INC,1810806,U
UPLAND SOFTWARE INC,1505155,UPLD
VANCORD CAPITAL INC,1200528,
VDO-PH INTERNATIONAL INC,1499355,
VEEVA SYSTEMS INC,1393052,VEEV
VERB TECHNOLOGY CO INC,1566610,VERBW
VERINT SYSTEMS INC,1166388,VRNT
VERITONE INC,1615165,VERI
VERTEX INC,1806837,VERX
VERTICAL COMPUTER SYS INC,1099509,
VIRNETX HOLDING CORP,1082324,VHC
VIVA ENTERTAINMENT GROUP INC,1479000,
VOYAGER DIGITAL LTD,1827032,
WOD RETAIL SOLUTIONS,704366,WODI
WORKDAY INC,1327811,WDAY
WORKIVA INC,1445305,WK
XCELMOBILITY INC,1465509,
XPERI HOLDING CORP,1803696,XPER
YAPPN CORP,1511735,
YEXT INC,1614178,YEXT
ZENDESK INC,1463172,ZEN
ZIX CORP,855612,
ZOOM TELEPHONICS INC,1467761,MINM
ZOOM VIDEO COMUNICATIONS INC,1585521,ZM
ZOOMAWAY TRAVEL INC,1541054,
ZOOMINFO TECHNOLOGIES,1794515,ZI
ZSCALER INC,1713683,ZS
ZUORA INC,1423774,ZUO
