ticker,logo url
EGHT,https://eodhistoricaldata.com/img/logos/US/EGHT.png
SCWX,https://eodhistoricaldata.com/img/logos/US/SCWX.png
SUMO,https://eodhistoricaldata.com/img/logos/US/SUMO.png
EBIX,https://eodhistoricaldata.com/img/logos/US/EBIX.png
ATEN,https://eodhistoricaldata.com/img/logos/US/ATEN.png
AVYA,https://eodhistoricaldata.com/img/logos/US/AVYA.png
YEXT,https://eodhistoricaldata.com/img/logos/US/YEXT.png
TWOU,https://eodhistoricaldata.com/img/logos/US/TWOU.png
AMSWA,https://eodhistoricaldata.com/img/logos/US/AMSWA.png
MITK,https://eodhistoricaldata.com/img/logos/US/MITK.png
CYRN,https://eodhistoricaldata.com/img/logos/US/CYRN.png
VERI,https://eodhistoricaldata.com/img/logos/US/VERI.png
OSPN,https://eodhistoricaldata.com/img/logos/US/OSPN.png
UPLD,https://eodhistoricaldata.com/img/logos/US/UPLD.png
ECOM,https://eodhistoricaldata.com/img/logos/US/ECOM.png
IDEX,https://eodhistoricaldata.com/img/logos/US/IDEX.png
EGAN,https://eodhistoricaldata.com/img/logos/US/EGAN.png
BNFT,https://eodhistoricaldata.com/img/logos/US/BNFT.png
SSTI,https://eodhistoricaldata.com/img/logos/US/SSTI.png
MIXT,https://eodhistoricaldata.com/img/logos/US/MIXT.png
PHUN,https://eodhistoricaldata.com/img/logos/US/PHUN.png
GTYH,https://eodhistoricaldata.com/img/logos/US/GTYH.png
SMSI,https://eodhistoricaldata.com/img/logos/US/SMSI.png
ASUR,https://eodhistoricaldata.com/img/logos/US/ASUR.png
VHC,https://eodhistoricaldata.com/img/logos/US/VHC.png
SNCR,https://eodhistoricaldata.com/img/logos/US/SNCR.png
PCYG,https://eodhistoricaldata.com/img/logos/US/PCYG.png
ISDR,https://eodhistoricaldata.com/img/logos/US/ISDR.png
IVDA,https://eodhistoricaldata.com/img/logos/US/IVDA.png
ZEST,https://eodhistoricaldata.com/img/logos/US/ZEST.png
VERB,https://eodhistoricaldata.com/img/logos/US/VERB.png
AEYE,https://eodhistoricaldata.com/img/logos/US/AEYE.png
BOXL,https://eodhistoricaldata.com/img/logos/US/BOXL.png
AWRE,https://eodhistoricaldata.com/img/logos/US/AWRE.png
INUV,https://eodhistoricaldata.com/img/logos/US/INUV.png
NTWK,https://eodhistoricaldata.com/img/logos/US/NTWK.png
