Unnamed: 0,Unnamed: 0.1,cik,date,Total Revenue,filenames,Number of customers,MRR,ARR,ARPU,Churn,CRR,MRR Expansion,Number of qualified leads,Penetration Rate,LTV,quater_year,url,year_month,Sales and Marketing,CAC,CAC payback,Gross Margin,quater_year_string
14,14,1013857,6/29/2021,325702.0,1013857_0.csv,711.0,108567.33333333331,1302808.0,1832.3600562587906,-0.037956204379562035,1.037956204379562,0.03892516403561087,0.008953453051014026,6.925774400935125e-07,-48275.63994374121,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1013857/000101385721000175/Financial_Report.xlsx,2021-06,156423,6016.269230769231,81.24985678211725,74.04652105298709,"Q2,2021"
15,15,1013857,3/30/2021,313499.0,1013857_0.csv,685.0,104499.66666666669,1253996.0,1830.6510948905109,-0.05061349693251534,1.0506134969325154,0.04989618218352322,0.00861799613769595,6.672511202026106e-07,-36169.22769298828,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1013857/000101385721000093/Financial_Report.xlsx,2021-03,148739,4507.242424242424,61.155756832123316,73.70103253917875,"Q1,2021"
16,16,1013857,12/30/2020,298600.0,1013857_0.csv,652.0,99533.33333333331,1194400.0,1831.9018404907968,,,,0.00989675687320816,6.673490276356193e-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1013857/000101385721000032/Financial_Report.xlsx,2020-12,150009,,,74.24815807099799,"Q4,2020"
17,17,1015739,ttm,16854.0,1015739_0.csv,15000.0,5618.0,67416.0,4.4944,-0.054481546572934976,1.054481546572935,3.2177177177177176,0.0003921815008726004,1.3783394868533982e-05,-82.49398709677419,"('-1', 'ttm')",,2021-ttm,6324,,,92.82662869348522,"-1,ttm"
18,18,1015739,12/30/2021,3996.0,1015739_0.csv,14225.0,1332.0,15984.0,1.1236555360281195,0.0428609877540035,0.9571390122459964,-0.042874251497006036,0.00010984887532729934,1.3856419248003116e-05,26.216277200078355,"('Q4', '2021')",,2021-12,1540,-2.417582417582417,-0.02596951435661114,93.09309309309307,"Q4,2021"
19,19,1015739,9/29/2021,4175.0,1015739_0.csv,14862.0,1391.666666666667,16700.0,1.1236711075225407,0.02088411621318928,0.9791158837868108,-0.02087242026266406,0.00011476953315602473,1.4476914085330216e-05,53.80505912014085,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1015739/000156459021052320/Financial_Report.xlsx,2021-09,1631,-5.145110410094636,-0.0546308137389245,94.17964071856287,"Q3,2021"
20,20,1015739,6/29/2021,4264.0,1015739_0.csv,15179.0,1421.333333333333,17056.0,1.1236576849594837,0.035089949780687815,0.9649100502193122,-0.035075809006562625,0.00011721611721611721,1.4785700370153906e-05,32.022208409597155,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1015739/000156459021038614/Financial_Report.xlsx,2021-06,1500,-2.717391304347826,-0.029296982355851164,92.75328330206379,"Q2,2021"
21,21,1015739,3/30/2021,4419.0,1015739_0.csv,15731.0,1473.0,17676.0,1.1236412179772424,-0.2898491308625779,1.289849130862578,0.2898423817863397,0.00012147702203987383,1.5323397623222287e-05,-3.8766416674541575,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1015739/000156459021021322/Financial_Report.xlsx,2021-03,1652,0.4673267326732674,0.005116741406548981,91.33288074224936,"Q1,2021"
22,22,1015739,12/30/2020,3426.0,1015739_0.csv,12196.0,1142.0,13704.0,1.1236470974089865,,,,0.00011355086754055978,1.2483111566018424e-05,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1015739/000156459021006373/Financial_Report.xlsx,2020-12,1640,,,90.45534150612959,"Q4,2020"
23,23,1017655,ttm,14626.0,1017655_0.csv,370267.0,4875.333333333333,58504.0,0.1580048991673576,-2.7702325676116,3.7702325676116,3.2028735632183905,0.0003403374054682955,0.0003402357511858314,-0.0570366910759352,"('-1', 'ttm')",,2021-ttm,0,,,23.615479283467803,"-1,ttm"
24,24,1017655,9/29/2021,3480.0,1017655_0.csv,98208.0,1160.0,13920.0,0.14173998044965788,0.1334715665946089,0.8665284334053911,-0.13346613545816738,9.566418572047093e-05,9.566335476329633e-05,1.0619488784466171,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1017655/000185173421000089/Financial_Report.xlsx,2021-09,0,-0.0,-0.0,22.32758620689655,"Q3,2021"
25,25,1017655,6/29/2021,4016.0,1017655_0.csv,113335.0,1338.6666666666667,16064.0,0.14173909207217542,-0.14318135969336293,1.1431813596933629,0.14318246512951902,0.00011039866949810663,0.00011039840249366841,-0.9899269875333194,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1017655/000165495421009086/Financial_Report.xlsx,2021-06,0,0.0,0.0,23.232071713147413,"Q2,2021"
26,26,1017655,3/30/2021,3513.0,1017655_0.csv,99140.0,1171.0,14052.0,0.14173895501311276,0.1535466684880981,0.8464533315119019,-0.028753110312413663,9.657134610230295e-05,9.65712059224625e-05,0.9231001649775256,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1017655/000165495421005705/Financial_Report.xlsx,2021-03,0,-0.0,-0.0,25.02134927412468,"Q1,2021"
27,27,1017655,12/30/2020,3617.0,1017655_0.csv,117124.0,1205.6666666666667,14468.0,0.12352720193982444,,,,0.00011988134497787649,0.00011988126919140227,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1017655/000165495421003649/Financial_Report.xlsx,2020-12,0,,,23.88719933646669,"Q4,2020"
28,28,1019034,ttm,5243.0,1019034_0.csv,1000.0,1747.666666666667,20972.0,20.972,-0.009081735620585271,1.0090817356205852,3.0361816782140107,0.00012200116346713206,9.188929912355986e-07,-2309.2502222222224,"('-1', 'ttm')",,2021-ttm,0,,,69.27331680335685,"-1,ttm"
29,29,1019034,9/29/2021,1299.0,1019034_0.csv,991.0,433.0,5196.0,5.243188698284562,-0.3108465608465609,1.3108465608465611,0.3093570139805865,3.5709131393934395e-05,9.653224235339956e-07,-16.867449599587776,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1019034/000143774921026757/Financial_Report.xlsx,2021-09,0,0.0,0.0,77.3153194765204,"Q3,2021"
30,30,1019034,6/29/2021,992.09,1019034_0.csv,756.0,330.69666666666666,3968.36,5.249153439153438,0.4753643303261624,0.5246356696738377,-0.4748067760719957,2.727226494581091e-05,7.364114552893045e-07,11.0423797165257,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1019034/000143774921020184/Financial_Report.xlsx,2021-06,0,-0.0,-0.0,75.85209003215434,"Q2,2021"
31,31,1019034,3/30/2021,1889.0,1019034_0.csv,1441.0,629.6666666666666,7556.0,5.2435808466342815,-0.7768187422934648,1.7768187422934651,0.7753759398496238,5.1928059432749874e-05,1.4036625754919151e-06,-6.750069947016512,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1019034/000143774921012546/Financial_Report.xlsx,2021-03,0,0.0,0.0,59.415828480677604,"Q1,2021"
32,32,1019034,12/30/2020,1064.0,1019034_0.csv,811.0,354.66666666666674,4256.0,5.247842170160296,,,,3.526506802777456e-05,8.300921187308086e-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1019034/000143774921007486/Financial_Report.xlsx,2020-12,0,,,70.81766917293233,"Q4,2020"
33,33,1019671,ttm,23866.0,1019671_0.csv,200.0,7955.333333333332,95464.0,477.32,0.16317991631799164,0.8368200836820083,2.3374353237309458,0.0005553461314717858,1.8377859824711974e-07,2925.1148717948718,"('-1', 'ttm')",,2021-ttm,5402,,,56.52811531048354,"-1,ttm"
34,34,1019671,10/30/2021,7151.0,1019671_0.csv,239.0,2383.6666666666665,28604.0,119.68200836820084,-0.091324200913242,1.091324200913242,0.09342507645259933,0.00019657890577215155,2.3280732515098385e-07,-1310.5179916317993,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1019671/000156459021060353/Financial_Report.xlsx,2021-09,1449,72.45,1.3957164601293102,51.9088239407076,"Q3,2021"
35,35,1019671,7/30/2021,6540.0,1019671_0.csv,219.0,2180.0,26160.0,119.45205479452056,-0.2958579881656805,1.2958579881656804,0.2945368171021377,0.00017978269385398842,2.1332554061952078e-07,-403.74794520547937,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1019671/000156459021047915/Financial_Report.xlsx,2021-06,1643,32.86,0.5219927131406364,62.95107033639143,"Q2,2021"
36,36,1019671,4/29/2021,5052.0,1019671_0.csv,169.0,1684.0,20208.0,119.57396449704142,0.011695906432748536,0.9883040935672516,-0.013859066952957296,0.000138878007545925,1.6462107929086304e-07,10223.573964497042,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1019671/000156459021032653/Financial_Report.xlsx,2021-03,1380,-690.0,-12.313246202755213,56.037212984956454,"Q1,2021"
37,37,1019671,1/30/2021,5123.0,1019671_0.csv,171.0,1707.666666666667,20492.0,119.83625730994152,,,,0.0001408297768522909,1.6656925774400936e-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1019671/000156459021018886/Financial_Report.xlsx,2020-12,930,,,55.26058949834081,"Q4,2020"
38,38,1021435,ttm,3517.0,1021435_0.csv,89035.0,1172.3333333333333,14068.0,0.1580052788229348,-2.4315501426038697,3.4315501426038697,2.825320861431368,8.183827806864457e-05,8.181363747466153e-05,-0.06498129569877263,"('-1', 'ttm')",,2021-ttm,561.2,,,95.37105487631504,"-1,ttm"
39,39,1021435,9/29/2021,919.4,1021435_0.csv,25946.0,306.46666666666664,3677.6,0.14174053804054573,-0.022583060733850944,1.0225830607338509,0.022578133689244752,2.527403803201177e-05,2.527371907266705e-05,-6.276409549219487,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1021435/000149315221028712/Financial_Report.xlsx,2021-09,152,0.2652705061082025,0.0027611197024327108,96.07352621274744,"Q3,2021"
40,40,1021435,6/29/2021,899.1,1021435_0.csv,25373.0,299.7,3596.4,0.1417412209829346,-0.04523171987641607,1.0452317198764158,0.045222041385724165,2.471599694864236e-05,2.471556594584064e-05,-3.1336686150826387,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1021435/000149315221020265/Financial_Report.xlsx,2021-06,153.1,0.13943533697632055,0.0014688495779192714,94.92826159492826,"Q2,2021"
41,41,1021435,3/30/2021,860.2,1021435_0.csv,24275.0,286.73333333333335,3440.8,0.14174253347064886,0.10615656528463067,0.8938434347153693,0.025634911172052053,2.3646647286422145e-05,2.364601597506332e-05,1.335221548385668,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1021435/000149315221011959/Financial_Report.xlsx,2021-03,143,-0.04960110995490808,-0.0005228783674413229,94.86166007905138,"Q1,2021"
42,42,1021435,12/30/2020,838.7,1021435_0.csv,27158.0,279.56666666666666,3354.8,0.12352897856985053,,,,2.779775616061515e-05,2.779733879222109e-05,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1021435/000149315221007517/Financial_Report.xlsx,2020-12,113.1,,,95.58841063550732,"Q4,2020"
43,43,1022505,ttm,6.6670000000000025,1022505_0.csv,168.0,2.2223333333333337,26.66800000000001,0.1587380952380953,-inf,inf,inf,1.551367073880163e-07,1.5437402252758054e-07,-0.0,"('-1', 'ttm')",,2021-ttm,124.518,,,100.0,"-1,ttm"
44,44,1022505,12/30/2021,0.0,1022505_0.csv,0.0,0.0,0.0,,,,,0.0,0.0,,"('Q4', '2021')",,2021-12,53.393,,,,"Q4,2021"
45,45,1022505,9/29/2021,0.0,1022505_0.csv,0.0,0.0,0.0,,,,,0.0,0.0,,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1022505/000149315221032215/Financial_Report.xlsx,2021-09,39.875,,,,"Q3,2021"
46,46,1022505,6/29/2021,0.0,1022505_0.csv,0.0,0.0,0.0,,1.0,0.0,-1.0,0.0,0.0,,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1022505/000149315221020128/Financial_Report.xlsx,2021-06,0,-0.0,,,"Q2,2021"
47,47,1022505,3/30/2021,6.6670000000000025,1022505_0.csv,188.0,2.2223333333333337,26.66800000000001,0.14185106382978727,0.33568904593639576,0.6643109540636043,-0.2380571428571427,1.8327388683861488e-07,1.8312877459575297e-07,0.4225668533034716,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1022505/000149315221011823/Financial_Report.xlsx,2021-03,31.25,-0.32894736842105265,-0.0032894736842105266,100.0,"Q1,2021"
48,48,1022505,12/30/2020,8.75,1022505_0.csv,283.0,2.9166666666666665,35.0,0.1236749116607774,,,,2.90008783123146e-07,2.896622313203685e-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1022505/000149315221003963/Financial_Report.xlsx,2020-12,25,,,100.0,"Q4,2020"
49,49,1023731,ttm,601477.0,1023731_0.csv,1200000.0,200492.33333333328,2405908.0,2.004923333333333,0.041464642026982766,0.9585353579730173,2.8341407753993653,0.013995974403723094,0.0011026715894827184,48.3526020079625,"('-1', 'ttm')",,2021-ttm,300134,,,60.06996111239497,"-1,ttm"
50,50,1023731,12/30/2021,156874.0,1023731_0.csv,1251910.0,52291.33333333334,627496.0,0.5012309191555303,-0.035082903533590525,1.0350829035335904,0.03508251021067986,0.004312420537561251,0.0012194720436391974,-14.287042082352764,"('Q4', '2021')",,2021-12,76797,1.809884049773756,0.02925842440480298,61.85856164820174,"Q4,2021"
51,51,1023731,9/29/2021,151557.0,1023731_0.csv,1209478.0,50519.0,606228.0,0.501231109619191,-0.021775750991381286,1.0217757509913812,0.02177621066966899,0.004166257757252129,0.0011781394895772454,-23.01785641365828,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1023731/000102373121000243/Financial_Report.xlsx,2021-09,76726,2.976644941030416,0.048988096137229535,60.76261736508376,"Q3,2021"
52,52,1023731,6/29/2021,148327.0,1023731_0.csv,1183702.0,49442.33333333334,593308.0,0.5012308841245516,-0.024931856043944624,1.0249318560439449,0.024931073321402267,0.004077465998666749,0.0011530313656730954,-20.104034101636373,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1023731/000102373121000161/Financial_Report.xlsx,2021-06,75915,2.636486768076683,0.044152394446095235,59.71333607502344,"Q2,2021"
